"","X","region","station_year","station","fox","cat","potoroo_ln","bandicoot_sb","date_start","date_end","survey_duration","year","latitude","longitude","XGROUPNAME","foxbaits","x","y","st_no","grid"
"1",1,"glenelg","A001x2018","A001",0,1,0,0,"2018-01-30","2018-04-12",72,2018,-37.988611,141.56355,"Lowland Forests",0,549486.030608236,5795298.81548941,NA,"Annya"
"2",2,"glenelg","A002x2018","A002",1,1,0,0,"2018-01-28","2018-04-10",72,2018,-37.98823298,141.569277,"Lowland Forests",0,549989.186183154,5795337.6979048,NA,"Annya"
"3",3,"glenelg","A003x2018","A003",0,0,0,0,"2018-01-28","2018-04-10",72,2018,-37.98838201,141.575664,"Lowland Forests",0,550549.941904309,5795317.71328668,NA,"Annya"
"4",4,"glenelg","A005x2018","A005",1,1,0,0,"2018-01-29","2018-04-10",71,2018,-37.98852802,141.586187,"Lowland Forests",0,551473.888536735,5795295.74617151,NA,"Annya"
"5",5,"glenelg","A006x2018","A006",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.98833096,141.591887,"Lowland Forests",0,551974.556760749,5795314.44328511,NA,"Annya"
"6",6,"glenelg","A007x2018","A007",0,0,0,1,"2018-01-28","2018-04-12",74,2018,-37.99283599,141.563893,"Lowland Forests",0,549513.310187753,5794829.85684808,NA,"Annya"
"7",7,"glenelg","A008x2018","A008",1,1,0,0,"2018-01-28","2018-04-12",74,2018,-37.99293397,141.568868,"Lowland Forests",0,549950.08316306,5794816.32740542,NA,"Annya"
"8",8,"glenelg","A009x2018","A009",1,1,0,0,"2018-01-27","2018-04-10",73,2018,-37.99211598,141.575697,"Lowland Forests",0,550550.277324274,5794903.39920287,NA,"Annya"
"9",9,"glenelg","A010x2018","A010",0,1,0,0,"2018-01-31","2018-04-10",69,2018,-37.99154299,141.580432,"Lowland Forests",0,550966.443809357,5794964.39216008,NA,"Annya"
"10",10,"glenelg","A011x2018","A011",0,0,0,1,"2018-01-29","2018-04-10",71,2018,-37.99126497,141.586697,"Lowland Forests",0,551516.758653857,5794991.79036106,NA,"Annya"
"11",11,"glenelg","A012x2018","A012",0,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99307504,141.591952,"Lowland Forests",0,551976.91704236,5794788.03541195,NA,"Annya"
"12",12,"glenelg","A013x2018","A013",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99291302,141.597389,"Lowland Forests",0,552454.437673489,5794802.96186325,NA,"Annya"
"13",13,"glenelg","A014x2018","A014",1,1,0,1,"2018-01-29","2018-04-10",71,2018,-37.99309499,141.603625,"Lowland Forests",0,553001.870915719,5794779.23885807,NA,"Annya"
"14",14,"glenelg","A015x2018","A015",0,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99295803,141.609231,"Lowland Forests",0,553494.215099295,5794791.22782503,NA,"Annya"
"15",15,"glenelg","A017x2018","A017",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99265401,141.621223,"Herb-rich Woodlands",0,554547.421328059,5794817.99968634,NA,"Annya"
"16",16,"glenelg","A018x2018","A018",1,0,0,1,"2018-01-28","2018-04-12",74,2018,-37.99734897,141.564267,"Lowland Forests",0,549543.114164944,5794328.92779286,NA,"Annya"
"17",17,"glenelg","A019x2018","A019",0,0,0,0,"2018-01-28","2018-04-12",74,2018,-37.99783898,141.56919,"Lowland Forests",0,549975.028625546,5794271.92735528,NA,"Annya"
"18",18,"glenelg","A020x2018","A020",0,0,0,0,"2018-01-27","2018-04-10",73,2018,-37.99747101,141.575091,"Lowland Forests",0,550493.394469664,5794309.56964977,NA,"Annya"
"19",19,"glenelg","A022x2018","A022",1,1,0,1,"2018-01-27","2018-04-10",73,2018,-37.99732902,141.586598,"Lowland Forests",0,551503.825015644,5794319.01822787,NA,"Annya"
"20",20,"glenelg","A023x2018","A023",0,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99733698,141.59299,"Lowland Forests",0,552065.047535944,5794314.57832627,NA,"Annya"
"21",21,"glenelg","A024x2018","A024",0,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99741502,141.59781,"Lowland Forests",0,552488.195928593,5794303.2120184,NA,"Annya"
"22",22,"glenelg","A025x2018","A025",0,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.997656,141.603846,"Lowland Forests",0,553017.992845061,5794273.05296979,NA,"Annya"
"23",23,"glenelg","A026x2018","A026",0,0,0,1,"2018-01-29","2018-04-10",71,2018,-37.997196,141.609323,"Lowland Forests",0,553499.214869782,5794320.95725493,NA,"Annya"
"24",24,"glenelg","A027x2018","A027",1,1,0,1,"2018-01-29","2018-04-10",71,2018,-37.99689299,141.615239,"Lowland Forests",0,554018.873147396,5794351.15993402,NA,"Annya"
"25",25,"glenelg","A028x2018","A028",1,0,0,1,"2018-01-29","2018-04-10",71,2018,-37.99695401,141.62061,"Lowland Forests",0,554490.414051392,5794341.25840424,NA,"Annya"
"26",26,"glenelg","A029x2018","A029",0,0,1,1,"2018-01-29","2018-04-10",71,2018,-37.997627,141.626208,"Lowland Forests",0,554981.428504315,5794263.29526356,NA,"Annya"
"27",27,"glenelg","A031x2018","A031",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-37.99726398,141.637854,"Lowland Forests",0,556004.240411886,5794296.62933947,NA,"Annya"
"28",28,"glenelg","A032x2018","A032",1,0,0,1,"2018-01-28","2018-04-12",74,2018,-38.00229496,141.564029,"Lowland Forests",0,549518.891364504,5793780.28011134,NA,"Annya"
"29",29,"glenelg","A033x2018","A033",1,0,0,0,"2018-01-27","2018-04-12",75,2018,-38.00154604,141.56938,"Lowland Forests",0,549989.194272144,5793860.51435466,NA,"Annya"
"30",30,"glenelg","A034x2018","A034",1,0,0,1,"2018-01-27","2018-04-10",73,2018,-38.00184301,141.575451,"Lowland Forests",0,550522.003405882,5793824.28582804,NA,"Annya"
"31",31,"glenelg","A035x2018","A035",1,1,0,0,"2018-01-27","2018-04-10",73,2018,-38.00229597,141.581012,"Lowland Forests",0,551009.924414473,5793770.99455604,NA,"Annya"
"32",32,"glenelg","A036x2018","A036",0,0,0,0,"2018-01-27","2018-04-10",73,2018,-38.00185299,141.586463,"Lowland Forests",0,551488.808555828,5793817.1426636,NA,"Annya"
"33",33,"glenelg","A037x2018","A037",0,0,0,0,"2018-01-27","2018-04-10",73,2018,-38.00169096,141.591965,"Lowland Forests",0,551971.97790608,5793832.06187091,NA,"Annya"
"34",34,"glenelg","A038x2018","A038",1,0,0,1,"2018-01-29","2018-04-10",71,2018,-38.00143104,141.597566,"Lowland Forests",0,552463.911115024,5793857.75795883,NA,"Annya"
"35",35,"glenelg","A039x2018","A039",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-38.00203001,141.60358,"Lowland Forests",0,552991.490019921,5793787.89240441,NA,"Annya"
"36",36,"glenelg","A040x2018","A040",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-38.00168401,141.609198,"Lowland Forests",0,553484.979885651,5793823.06823401,NA,"Annya"
"37",37,"glenelg","A041x2018","A041",0,0,0,1,"2018-01-29","2018-04-10",71,2018,-38.00205097,141.615336,"Lowland Forests",0,554023.605850643,5793778.8070091,NA,"Annya"
"38",38,"glenelg","A042x2018","A042",1,1,0,0,"2018-01-29","2018-04-10",71,2018,-38.00190596,141.620575,"Lowland Forests",0,554483.677078155,5793791.84192669,NA,"Annya"
"39",39,"glenelg","A043x2018","A043",1,1,0,1,"2018-01-29","2018-04-10",71,2018,-38.00161402,141.62641,"Lowland Forests",0,554996.18668823,5793820.80131454,NA,"Annya"
"40",40,"glenelg","A044x2018","A044",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-38.00173103,141.631871,"Lowland Forests",0,555475.55629872,5793804.57708109,NA,"Annya"
"41",41,"glenelg","A045x2018","A045",1,0,0,0,"2018-01-29","2018-04-10",71,2018,-38.00150204,141.637812,"Lowland Forests",0,555997.329932358,5793826.42597487,NA,"Annya"
"42",42,"glenelg","A046x2018","A046",1,0,0,0,"2018-01-28","2018-04-12",74,2018,-38.006501,141.564629,"Lowland Forests",0,549568.737002199,5793313.28588911,NA,"Annya"
"43",43,"glenelg","A047x2018","A047",1,0,0,0,"2018-01-31","2018-04-12",71,2018,-38.00640704,141.570254,"Lowland Forests",0,550062.623180541,5793320.69954491,NA,"Annya"
"44",44,"glenelg","A048x2018","A048",0,0,0,0,"2018-01-27","2018-04-12",75,2018,-38.00645297,141.57494,"Lowland Forests",0,550473.97919243,5793313.07184103,NA,"Annya"
"45",45,"glenelg","A049x2018","A049",0,0,0,0,"2018-01-27","2018-04-12",75,2018,-38.00648801,141.581044,"Lowland Forests",0,551009.829502155,5793305.85527247,NA,"Annya"
"46",46,"glenelg","A050x2018","A050",0,1,0,0,"2018-01-27","2018-04-12",75,2018,-38.00627402,141.586693,"Lowland Forests",0,551505.908906774,5793326.48628765,NA,"Annya"
"47",47,"glenelg","A051x2018","A051",0,0,0,1,"2018-01-27","2018-04-12",75,2018,-38.00639103,141.592691,"Lowland Forests",0,552032.396528286,5793310.16643941,NA,"Annya"
"48",48,"glenelg","A052x2018","A052",0,0,0,0,"2018-01-27","2018-04-12",75,2018,-38.00648298,141.597834,"Lowland Forests",0,552483.839399254,5793297.07575497,NA,"Annya"
"49",49,"glenelg","A053x2018","A053",1,0,0,0,"2018-01-30","2018-04-12",72,2018,-38.006169,141.603171,"Lowland Forests",0,552952.604601675,5793328.88915502,NA,"Annya"
"50",50,"glenelg","A054x2018","A054",1,0,0,0,"2018-01-30","2018-04-12",72,2018,-38.00640897,141.609468,"Lowland Forests",0,553505.251221742,5793298.66127394,NA,"Annya"
"51",51,"glenelg","A055x2018","A055",1,1,0,0,"2018-01-30","2018-04-12",72,2018,-38.00641299,141.615118,"Lowland Forests",0,554001.266921288,5793294.95119976,NA,"Annya"
"52",52,"glenelg","A056x2018","A056",0,0,0,0,"2018-01-30","2018-04-12",72,2018,-38.00615801,141.620917,"Lowland Forests",0,554510.555310974,5793319.86075384,NA,"Annya"
"53",53,"glenelg","A057x2018","A057",1,1,0,0,"2018-01-30","2018-04-11",71,2018,-38.00633504,141.62675,"Lowland Forests",0,555022.509407053,5793296.78532664,NA,"Annya"
"54",54,"glenelg","A058x2018","A058",1,0,0,0,"2018-01-30","2018-04-11",71,2018,-38.00610303,141.632074,"Lowland Forests",0,555490.083926875,5793319.36601984,NA,"Annya"
"55",55,"glenelg","A059x2018","A059",0,1,0,0,"2018-01-30","2018-04-11",71,2018,-38.00651701,141.637378,"Lowland Forests",0,555955.414697026,5793270.25691378,NA,"Annya"
"56",56,"glenelg","A060x2018","A060",1,1,0,0,"2018-01-31","2018-04-12",71,2018,-38.01099798,141.56378,"Lowland Forests",0,549491.179406397,5792814.78191863,NA,"Annya"
"57",57,"glenelg","A061x2018","A061",0,0,0,0,"2018-01-31","2018-04-13",72,2018,-38.01106403,141.569737,"Lowland Forests",0,550014.071340162,5792804.26785867,NA,"Annya"
"58",58,"glenelg","A062x2018","A062",0,1,0,0,"2018-01-31","2018-04-13",72,2018,-38.01098499,141.575232,"Lowland Forests",0,550496.505265776,5792810.06942962,NA,"Annya"
"59",59,"glenelg","A063x2018","A063",1,1,0,0,"2018-01-31","2018-04-13",72,2018,-38.01103704,141.58106,"Lowland Forests",0,551008.082048289,5792801.11507689,NA,"Annya"
"60",60,"glenelg","A064x2018","A064",1,0,0,0,"2018-01-27","2018-04-13",76,2018,-38.01048299,141.586995,"Lowland Forests",0,551529.475542678,5792859.3184525,NA,"Annya"
"61",61,"glenelg","A065x2018","A065",1,0,0,0,"2018-01-27","2018-04-13",76,2018,-38.01094903,141.592324,"Lowland Forests",0,551996.957740035,5792804.644687,NA,"Annya"
"62",62,"glenelg","A066x2018","A066",1,0,0,0,"2018-01-27","2018-04-13",76,2018,-38.01075004,141.597822,"Lowland Forests",0,552479.743895374,5792823.6363605,NA,"Annya"
"63",63,"glenelg","A067x2018","A067",1,0,0,0,"2018-01-30","2018-04-12",72,2018,-38.01087803,141.603936,"Lowland Forests",0,553016.373413302,5792805.96900782,NA,"Annya"
"64",64,"glenelg","A068x2018","A068",1,0,0,0,"2018-01-26","2018-04-12",76,2018,-38.01068198,141.609545,"Lowland Forests",0,553508.905127777,5792824.51041136,NA,"Annya"
"65",65,"glenelg","A069x2018","A069",0,0,0,0,"2018-01-30","2018-04-12",72,2018,-38.01080997,141.615008,"Lowland Forests",0,553988.38516233,5792807.15338726,NA,"Annya"
"66",66,"glenelg","A070x2018","A070",1,0,0,0,"2018-01-30","2018-04-12",72,2018,-38.01076597,141.620838,"Lowland Forests",0,554500.208283212,5792808.63622752,NA,"Annya"
